qsp_filename,reference_number,ndid_document_control_no,title_of_reference
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A1,A-AD-121-C01/FP-000,- Staff and Writing Procedures for DND and the CF
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A2,A-AD-121-F01/JX-000,", Canadian Forces Manual of Abbreviations"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A3,A-AE-000-001/AG-E00,", Guide to the Divisional System"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A4,A-AE-219-001/AG-001,", Organization - Concept and Policy, Vol 1"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A5,A-PD-131-002/PT-001,", Leadership, Vol 2, The Professional Officer"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A6,,CFDC 105 - Seamanship Rigging and Procedure Manual
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A7,A-PD-201-000/PT-001,CF Manual of Drill and Ceremonial
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A8,A-SJ-100-001/AS-000,", National Defence Security Instructions (NDSI)"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A9,,Canadian Forces Administrative Orders (CFAO)
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A10,,"Manual of Ceremony for HMC Ships, Submarines and NRDs"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A11,,"MARCORDS, Maritime Command Orders"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A12,,NAVRESORDS
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A13,,"QR&O, Queen’s Regulations and Orders for the Canadian Forces"
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A14,,Naval Engineering Manual (NEM)
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A15,,Commanding Officer Standing Orders (CSO)
109228_CSQ_Naval_Reserve_Division_Officer_of_the_Day.pdf,A16,,MARCOM Ships Standing Orders (SSO)
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A1,,CFCD 130 – Canadian Navigation Manual 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A2,,Ship’s Standing Orders (SSOs) – accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A3,,NPTORDs – accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A4,,DAODs – accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A5,,QR & Os 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A6,,Captain’s Standing Orders 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A7,,NAVORDS – Accessible via DWAN 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A8,,CFCD 106 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A9,,Pronotes – (available on DWAN) 3
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A10,,HMC Ship’s Navigation Data Book 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A11,,Canadian Tide and Current Table Vol 1-7 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A12,,"Atlas of Tidal Currents, Vancouver Harbour 11"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A13,,Public Harbour Regulations 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A14,,Current Atlas (Juan De Fuca Strait) 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A15,,Hydrographic Services Handbook 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A16,,Murray’s Tables 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A18,,Canadian Annual Notice to Mariners 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A19,,Chart 1 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A20,,Maritime Command Chart Register 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,A21,,MARPIFs – Available on DWAN 1 B References
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B1,,"BR45(1) – Admiralty Manual of Navigation, Vol 1 – Principles of Navigation 1 B2 BR45(2) – Admiralty Manual of Navigation, Vol 2 – Astro Navigation 1 BR45(3) – Admiralty Manual of Navigation, Vol 3 – Navigation Systems, Equipment"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B3,,1 and Instruments
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B4,,"BR45(4) – Admiralty Manual of Navigation, Vol 4 – Conduct of Ships at Sea 1"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B5,,"BR45(6) – Admiralty Manual of Navigation, Vol 6 – Shiphandling 1 BR45(8) – Admiralty Manual of Navigation, Vol 8 – WECDIS, Charts and"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B6,,"1 Publications Chap, 1, provisionally approved 10 Jun 2020 Chap 2, 3 approved DD MM YYYY"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B7,,1 Techniques
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B8,,"BR 134 – Collisions, Groundings and Other Accidents 6"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B9,,"ATP 1 – Restricted Publication Extracts, Vol 1 6"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B10,,ATP 4 - Allied Naval Gunfire Support 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B11,,ATP 6 – Mine Warfare Principles 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B12,,ATP 16 – Replenishment at Sea 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B13,,ATP 28 – Allied Anti-Submarine Warfare 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B14,,APP 4 – Allied Maritime Message Formats 6
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B15,MTP6,– Mine Warfare Principles 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B16,MTP24,– Naval Mine Countermeasures 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B17,ATP4,– Allied Naval Gunfire Support 1 Fleet Guides – Pacific (Item #826)
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B18,,1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B19,,Admiralty Total Tides 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B20,,Admiralty List of Lights 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B21,,Admiralty List of Radio Signals 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B22,,Nautical Almanac 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,B23,,NavPac PC 11 C References
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C1,,"American Practical Navigator (Bowditch), Vol 1/Vol 2 11"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C2,,“Naval Shiphandling” - Barber 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C3,,NP 100 Mariner’s Handbook 2
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C4,,Hydrographic Services Handbook 2
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C5,,"Nautical Chart Symbols, Abbreviations 11"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C6,,NP 735 IALA Buoyage System 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C7,,"Norries Nautical Tables 11 Sailing directions Complete set of Admiralty,"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C8,,1 set Canadian and American
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C9,,Catalogue of Admiralty Charts and Publications 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C10,,Collision Regulations 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C11,,IAMSAR vol 3 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C12,,US Inland Rules 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C13,,"A Guide to the Collision Avoidance Rules – Cockcroft and Lameijer (latest edition) 11 Chap, 1, provisionally approved 10 Jun 2020 Chap 2, 3 approved DD MM YYYY"
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C14,,“Collisions” – Cahill (latest edition) 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C15,,“Strandings” – Cahill (latest edition) 11
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C16,,Pilot Charts (Items #476 – 481) 1 ea
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C17,NP136,Vol1/Vol2 – Ocean Passages of the World 1
AEEA_USQ_NWO_Fleet_Navigating_Officer.pdf,C18,,"User Manuals for all navigation equipment in use in the fleet 1 D References Chap, 1, provisionally approved 10 Jun 2020 Chap 2, 3 approved DD MM YYYY"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A1,,"(ARMY_CFSCE_AKOX_MOD1_RES 2016, 2.2) ACP-125 CANSUPP(C) Radio Telephone Procedures (CFSCE_ACP125_RTP_WBT_V1_EN,"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A2,,1.0) [Voice Procedures] A-IM-100-00/AG/001 Guideline for Certification and Accreditation Of Information
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A3,,Systems
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A4,,"Analog to Digital Conversion (CFSCE_04_ADC_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A5,B-GG-005-004/AF-000,CF Operations
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A6,B-GG-005-004/AF-010,CF Information Operations
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A7,B-GJ-005-500/FP-00,CF Operational Planning Process
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A8,,C&E Signals Basics (CFSCE_CESB_CBT_111116_EN)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A9,C-03-005-012/AM-001,(Engineering Change Proposal)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A10,,"C4ISR (CFSCE_18_C4ISR_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A11,,Canadian Navy’s Communications Blueprints 2010
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A12,,CF Address Book (website)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A13,,CFCD 101 Operational Analysis
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A14,,CFCD 102 Combat Readiness Requirements
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A15,,CFCD 106 Maritime Tactical Instructions
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A16,,CFCD 107 Maritime Command Communications Orders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A17,,CFCD 114 EW Instruction
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A18,,CFCD 117 Guidance to Commanders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A19,,CFCD 120 Tactical Aids
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A20,,CFCD 124 Maritime Operational Test and Evaluation Guide
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A22,,"(E) Characteristics of Waves and Waveform Displays (CFSCE_02_CWWD_CEBS_111116_EN, A23 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A24,,CIS/01/203 Status Manual for COMSEC
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A25,,CIS/01/509 Common Fill Devices Maintenance Manual A28
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A29,,Consolidated Secret Network Infrastructure (CSNI) Security Orders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A30,,"Cryptography (CFSCE_06_CRYPTO_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A31,,DAOD 6000 Information Management & information technology
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A32,,DAOD 6001 Information Management A42 A46
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A47,,Defence Wide Area Network (DWAN) Security Orders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A48,,DNDP-35 Management of the Radio Spectrum (B-GT-035-001/AG-000)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A49,,"Electromagnetic (EM) Spectrum (CFSCE_09_EMS_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A50,,EMSEC Policy Rev 2102-136 (DIR-IM-SECUR 5-2-3) A52
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A53,,GoC EKMS LMD/KP Operator’s Aide Memoire
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A54,,Government Security Policy (GSP)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A55,,HFX Class SATCOM VINSON (UNS-8) 212/- Chap 1 & 2: 13032018 Chap 3 & 4: 13032018
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A56,,IMD 100 (Information Management Accountability Frame Work)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A57,,INFOSEC 2 COMSEC Instructions
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A58,,"INFOSEC 601 Interference, Compatibility and Nuclear Radiation Effects A59 (CFSCE_13_ICNRE_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A60,,"Introduction to Computers (CFSCE_14_IC_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A61,,IS Security Response Manual A63
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A64,,"Methods of Modulation (CFSCE_07_MM_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A65,,"Miscellaneous Communications Systems (CFSCE_12_MCS_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A66,,"Multiplexing and Multiple Access Systems (CFSCE_08_MMAS_CEBS_111116_EN, 2.0) A67 A69"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A70,,Naval Multiband Terminal (NMT) SOP
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A71,,NAVORD 11900-2 Naval Orders – Maritime Evaluation A72 A74
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A77,,"Networking (Part 1 of 2) (CFSCE_15A_NET_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A78,,"Networking (Part 2 of 2) (CFSCE_15B_NET_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A79,,"Networking Models and Topologies (CFSCE_NETWORKING_01_E_2016, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A80,,"Operations and Maintenance Manual and ICD (RT-1828) Rev 4, 27 Apr 2007"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A81,,"Origins of the Internet (CFSCE_NETWORKING_00_E_2016, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A82,,"Radar (CFSCE_17_RDR_CEBS_111116_EN, 2.0) A83"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A84,,RDIMS 370925 RCN SEMS Part II Directive S9-RCN Radio Frequency Safety Program
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A86,,Satellite Access Authorisation (SAA) Messages
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A87,,"Satellites (Part 1 of 2) (CFSCE_11A_SAT1_CEBS_111116A_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A88,,"Satellites (Part 2 of 2) (CFSCE_11B_SAT2_CEBS_111116B_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A89,,Ship’s Standing Orders (SSOs) A90
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A91,,SHIPLAN Training Manual
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A93,,"Signal Sources (CFSCE_03_SS_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A94,,"Telephony (CFSCE_05_TEL_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A95,,"TP 001.03b TCPIP Internet Protocols (CFSCE_NDA_TP_001.03B_00022016_EN, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A96,,"TP 001.03d Sending and Receiving Packets (CFSCE_NDA_TP001.03D_00032017_EN, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A97,,ViaSat DAMA Training 05 (PowerPoint)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A98,,"Virtualization (CFSCE_16_VR_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B1,,AComP-1 NATO Communications Glossary
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B2,,ACP 100 Call Signs and Address Groups-Instructions and assignments
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B3,,ACP 110 Tactical Call Signs
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B4,,ACP 113 Tactical Call Signs for Ships
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B5,,ACP 117 Allied Routing Indicators
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B6,,ACP 117 CAN-Supp Allied Routing Indicator Book Canadian Supplement
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B7,,ACP 121 Communication Instructions-General
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B8,,ACP 122 Communication Instructions-Security
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B9,,ACP 123 Common Message Strategy and Procedures 213/- Chap 1 & 2: 13032018 Chap 3 & 4: 13032018
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A1,,"(ARMY_CFSCE_AKOX_MOD1_RES 2016, 2.2) ACP-125 CANSUPP(C) Radio Telephone Procedures (CFSCE_ACP125_RTP_WBT_V1_EN,"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A2,,1.0) [Voice Procedures] A-IM-100-00/AG/001 Guideline for Certification and Accreditation Of Information
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A3,,Systems
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A4,,"Analog to Digital Conversion (CFSCE_04_ADC_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A5,B-GG-005-004/AF-000,CF Operations
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A6,B-GG-005-004/AF-010,CF Information Operations
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A7,B-GJ-005-500/FP-00,CF Operational Planning Process
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A8,,C&E Signals Basics (CFSCE_CESB_CBT_111116_EN)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A9,C-03-005-012/AM-001,(Engineering Change Proposal)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A10,,"C4ISR (CFSCE_18_C4ISR_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A11,,Canadian Navy’s Communications Blueprints 2010
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A12,,CF Address Book (website)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A13,,CFCD 101 Operational Analysis
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A14,,CFCD 102 Combat Readiness Requirements
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A15,,CFCD 106 Maritime Tactical Instructions
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A16,,CFCD 107 Maritime Command Communications Orders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A17,,CFCD 114 EW Instruction
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A18,,CFCD 117 Guidance to Commanders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A19,,CFCD 120 Tactical Aids
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A20,,CFCD 124 Maritime Operational Test and Evaluation Guide
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A22,,"(E) Characteristics of Waves and Waveform Displays (CFSCE_02_CWWD_CEBS_111116_EN, A23 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A24,,CIS/01/203 Status Manual for COMSEC
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A25,,CIS/01/509 Common Fill Devices Maintenance Manual A28
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A29,,Consolidated Secret Network Infrastructure (CSNI) Security Orders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A30,,"Cryptography (CFSCE_06_CRYPTO_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A31,,DAOD 6000 Information Management & information technology
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A32,,DAOD 6001 Information Management A42 A46
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A47,,Defence Wide Area Network (DWAN) Security Orders
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A48,,DNDP-35 Management of the Radio Spectrum (B-GT-035-001/AG-000)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A49,,"Electromagnetic (EM) Spectrum (CFSCE_09_EMS_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A50,,EMSEC Policy Rev 2102-136 (DIR-IM-SECUR 5-2-3) A52
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A53,,GoC EKMS LMD/KP Operator’s Aide Memoire
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A54,,Government Security Policy (GSP)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A55,,HFX Class SATCOM VINSON (UNS-8) 212/- Chap 1 & 2: 13032018 Chap 3 & 4: 13032018
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A56,,IMD 100 (Information Management Accountability Frame Work)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A57,,INFOSEC 2 COMSEC Instructions
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A58,,"INFOSEC 601 Interference, Compatibility and Nuclear Radiation Effects A59 (CFSCE_13_ICNRE_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A60,,"Introduction to Computers (CFSCE_14_IC_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A61,,IS Security Response Manual A63
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A64,,"Methods of Modulation (CFSCE_07_MM_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A65,,"Miscellaneous Communications Systems (CFSCE_12_MCS_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A66,,"Multiplexing and Multiple Access Systems (CFSCE_08_MMAS_CEBS_111116_EN, 2.0) A67 A69"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A70,,Naval Multiband Terminal (NMT) SOP
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A71,,NAVORD 11900-2 Naval Orders – Maritime Evaluation A72 A74
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A77,,"Networking (Part 1 of 2) (CFSCE_15A_NET_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A78,,"Networking (Part 2 of 2) (CFSCE_15B_NET_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A79,,"Networking Models and Topologies (CFSCE_NETWORKING_01_E_2016, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A80,,"Operations and Maintenance Manual and ICD (RT-1828) Rev 4, 27 Apr 2007"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A81,,"Origins of the Internet (CFSCE_NETWORKING_00_E_2016, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A82,,"Radar (CFSCE_17_RDR_CEBS_111116_EN, 2.0) A83"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A84,,RDIMS 370925 RCN SEMS Part II Directive S9-RCN Radio Frequency Safety Program
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A86,,Satellite Access Authorisation (SAA) Messages
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A87,,"Satellites (Part 1 of 2) (CFSCE_11A_SAT1_CEBS_111116A_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A88,,"Satellites (Part 2 of 2) (CFSCE_11B_SAT2_CEBS_111116B_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A89,,Ship’s Standing Orders (SSOs) A90
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A91,,SHIPLAN Training Manual
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A93,,"Signal Sources (CFSCE_03_SS_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A94,,"Telephony (CFSCE_05_TEL_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A95,,"TP 001.03b TCPIP Internet Protocols (CFSCE_NDA_TP_001.03B_00022016_EN, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A96,,"TP 001.03d Sending and Receiving Packets (CFSCE_NDA_TP001.03D_00032017_EN, 1.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A97,,ViaSat DAMA Training 05 (PowerPoint)
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,A98,,"Virtualization (CFSCE_16_VR_CEBS_111116_EN, 2.0)"
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B1,,AComP-1 NATO Communications Glossary
AEEC_USQ_NWO_Communication_and_Information_Systems_Officer.pdf,B2,,ACP 100 Call Signs and Address Groups-Instructions and assignments
